Data Size;Java Serialization;JSON Serialization;Serenity Serialization
1.537109375;6491;5048;2685
4.0419921875;1031;831;1563
7.5107421875;479;195;252
11.9755859375;1281;106;360
17.4189453125;319;475;675
23.8603515625;310;509;553
31.2548828125;2038;323;623
39.6259765625;823;415;776
48.9873046875;813;1111;997
59.3134765625;807;371;1202
71.6611328125;1002;375;937
85.1083984375;1260;497;1758
99.62890625;1833;363;1269
115.224609375;1814;499;2171
131.880859375;1558;670;1705
149.6494140625;2214;684;1645
168.4443359375;3545;531;3109
188.333984375;3409;570;2317
209.298828125;2792;586;1564
231.3154296875;2199;849;1414
254.4033203125;2768;1023;1249
278.5888671875;2260;700;1615
303.849609375;2969;1111;1793
330.1728515625;2978;716;2033
357.5703125;3485;1273;2313
386.0537109375;3218;1303;1850
415.6103515625;3843;2096;2441
446.2529296875;4175;1238;2142
477.958984375;7214;1189;2495
510.7275390625;4713;1244;2820
544.58203125;6252;2067;4850
579.5341796875;5449;1817;4627
615.525390625;5692;1287;3424
652.6005859375;5781;1695;3957
690.7607421875;5982;1610;3000
729.9853515625;7346;1777;3157
770.2734375;6694;1551;3033
811.6572265625;7936;2183;3405
854.103515625;7246;2156;3682
897.63671875;7585;2410;4212
942.2197265625;8377;2191;4065
987.8896484375;9304;2203;4199
1034.6328125;9373;2313;4665
1082.4609375;16823;2640;4552
1131.36328125;12516;2688;4875
1181.330078125;10891;2804;5000
1232.37109375;11686;2812;5855
1284.49609375;12382;2541;5588
1337.6953125;11736;2825;5665
1391.96875;12556;2746;6973
1447.3291015625;13439;3216;7288
1503.7294921875;14966;3195;6830
1561.2373046875;14885;3244;6833
1619.7958984375;17766;3306;7306
1679.453125;41817;3392;7372
1740.16015625;23746;3903;7536
1801.955078125;18931;3655;7897
1864.822265625;19957;4067;8253
1928.775390625;19737;3884;8450
1993.791015625;20154;4291;9309
